Isoamyl-acetate,Ethyl-hexanoate,Ethyl-octanoate,Isoamyl-alcohol,Phenethyl-alcohol,NaCl_ratio,DaysSinceCanOpened,Date
3.1066E+09,1.9840E+09,1.0794E+10,9.5618E+09,7.0968E+09,Half,14-Days,May-30
4.6460E+09,3.3235E+09,1.3582E+10,1.1670E+10,1.0311E+10,Half,14-Days,May-30
4.6096E+09,3.2006E+09,1.3002E+10,1.1739E+10,1.0510E+10,Half,14-Days,May-30
4.88E+09,3.33E+09,1.30E+10,1.12E+10,1.14E+10,Half,14-Days,May-30
2.6431E+09,2.2255E+09,1.2095E+10,6.5880E+09,4.2111E+09,Half,0-Days,June-4
3.2072E+09,2.3214E+09,1.0522E+10,6.2439E+09,4.8746E+09,Half,0-Days,June-4
3.2202E+09,2.4413E+09,1.0077E+10,6.1684E+09,6.6339E+09,Half,0-Days,June-4
3.1651E+09,2.2850E+09,1.0551E+10,6.4553E+09,5.4246E+09,Half,0-Days,June-4
3.7366E+09,2.1893E+09,8.6951E+09,1.0039E+10,9.1316E+09,One,1-Days,June-5
5.3318E+09,2.9816E+09,9.3211E+09,1.3705E+10,1.4533E+10,One,1-Days,June-5
3.7035E+09,1.8712E+09,7.8145E+09,1.2056E+10,8.3424E+09,One,1-Days,June-5
2.9564E+09,1.7689E+09,7.0568E+09,1.1303E+10,6.7096E+09,One,1-Days,June-5
3.1202E+09,1.6121E+09,8.2767E+09,1.0942E+10,6.9282E+09,One,8-Days,June-12
3.9806E+09,1.9728E+09,8.7683E+09,1.2673E+10,1.1925E+10,One,8-Days,June-12
4.5989E+09,1.9509E+09,9.0692E+09,1.4665E+10,1.5891E+10,One,8-Days,June-12
4.0916E+09,1.9181E+09,8.5868E+09,1.1819E+10,1.2488E+10,One,8-Days,June-12
2.4168E+09,1.4949E+09,9.8411E+09,6.4533E+09,4.8010E+09,Half,9-Days,June-13
3.4615E+09,2.0152E+09,1.1291E+10,6.3251E+09,8.1018E+09,Half,9-Days,June-13
3.8142E+09,2.1159E+09,1.0805E+10,6.6508E+09,9.3035E+09,Half,9-Days,June-13
3.7789E+09,2.1135E+09,1.0942E+10,6.8592E+09,8.9331E+09,Half,9-Days,June-13
